bldg_id,building_type,energy_code,hvac_category,vintage,weighted.sqft,orientation,building_shape,building_height,perimeter,wall_area,WWR,electricity_bill_mean..usd,natural_gas_bill..usd,propane_bill..usd
97401,Food Service,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,25593.79273,"45, North Axis {deg}",2,3.048,24.24516711,73.89926934,0.165257679,19651,2091,
97402,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,2000 to 2012,242844.3655,"180, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.252110211,40598,3621,
97403,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,24034.38289,"225, North Axis {deg}",2,6.096,66.90147524,407.8313931,0.100437849,12215,11,
97404,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,8726.05822,"270, North Axis {deg}",3,3.048,28.91586692,88.13556239,0.12,3092,17,
97406,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,56751.43138,Unknown,1,3.048,63.75191176,194.315827,0.016561984,40605,8090,
97408,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,70149.45594,"135, North Axis {deg}",2,5.1816,143.738372,744.7947482,0.098552834,90566,4121,
97409,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1946 to 1959,120171.9144,"180, North Axis {deg}",2,6.096,180.7465869,1101.831194,0.07837395,66112,15,
97410,Office,ComStock 90.1-2007,Small Packaged Unit,Before 1946,8726.05822,"270, North Axis {deg}",3,3.048,34.07767598,103.8687564,0.12,3612,71,
97412,Office,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,65445.43665,"225, North Axis {deg}",2,3.048,43.64890861,133.0418735,0.653124478,17577,188,
97413,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,56080.22674,"270, North Axis {deg}",2,6.096,116.6647636,711.188399,0.01466326,28790,3,
97414,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1980 to 1989,485688.7311,"315, North Axis {deg}",missing,8.5344,363.2739639,3100.325317,0.084686893,104575,,
97415,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1980 to 1989,242844.3655,"135, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.252110211,53302,3428,
97417,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,24034.38289,"315, North Axis {deg}",2,6.096,65.66829434,400.3139223,0.01607866,9019,,31
97421,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1970 to 1979,242844.3655,"45, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.084036737,76733,1937,
97422,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,242844.3655,"45, North Axis {deg}",2,8.5344,258.860802,2209.221628,0.252110211,48264,2454,
97424,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1980 to 1989,485688.7311,"270, North Axis {deg}",3,8.5344,383.4322856,3272.364499,0.586764063,98567,6287,
97425,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,120171.9144,"135, North Axis {deg}",2,6.096,180.7465869,1101.831194,0.013062325,54897,25,
97428,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,152706.0189,"90, North Axis {deg}",2,3.048,77.46971715,236.1276979,0.529967834,20896,,
97430,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,56663.68529,"180, North Axis {deg}",2,8.5344,105.6886587,901.9892888,0.017576018,15279,736,
97435,Office,ComStock 90.1-2004,Small Packaged Unit,1946 to 1959,152706.0189,"135, North Axis {deg}",2,3.048,77.46971715,236.1276979,0.529967834,23404,,
97436,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,152706.0189,"225, North Axis {deg}",2,3.048,84.38774994,257.2138618,0.516034022,13298,,
97437,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,242844.3655,"225, North Axis {deg}",2,8.5344,248.1539454,2117.845032,0.278940648,54520,,
97438,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,25593.79273,"135, North Axis {deg}",2,3.048,23.60970648,71.96238535,0.03,23921,919,
97441,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,140298.9119,"270, North Axis {deg}",1,5.1816,197.944878,1025.67118,0.640980642,209663,18702,
97444,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,9613.753156,"45, North Axis {deg}",2,6.096,24.24516711,147.7985387,0.027542947,6490,10,
97445,Warehouse and Storage,ComStock 90.1-2004,Small Packaged Unit,1946 to 1959,242844.3655,"315, North Axis {deg}",2,8.5344,248.1539454,2117.845032,0.278940648,45404,,
97446,Office,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,65445.43665,"135, North Axis {deg}",2,3.048,69.00981723,210.3419229,0.275402078,11648,,
97447,Office,ComStock 90.1-2004,Small Packaged Unit,1946 to 1959,26178.17466,"45, North Axis {deg}",2,3.048,50.08375066,152.655272,1.26,5961,133,
97448,Office,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,26178.17466,"225, North Axis {deg}",2,3.048,30.20233421,92.05671468,0.397985801,7023,,
97451,Mercantile,ComStock 90.1-2007,Small Packaged Unit,Before 1946,140298.9119,"180, North Axis {deg}",2,5.1816,173.2505051,897.7148171,0.776767299,185116,24920,
97455,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,132420.0065,"315, North Axis {deg}",missing,3.048,120.700016,367.8936487,0.092577888,90089,14147,
97456,Food Service,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,25593.79273,Unknown,2,3.048,24.24516711,73.89926934,0.027542947,31744,2756,
97457,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,70149.45594,"90, North Axis {deg}",3,5.1816,158.1941414,819.6987633,0.221617723,86479,2003,
97458,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,14029.89119,"135, North Axis {deg}",2,5.1816,46.02220956,238.468681,0.412962508,20078,3933,
97461,Food Service,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,22700.57255,"45, North Axis {deg}",2,3.048,34.3379571,104.6620932,0.020627063,24666,9272,
97463,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,153306.5673,"270, North Axis {deg}",3,3.048,119.0950622,363.0017495,0.600020667,80480,1790,2552
97464,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,2000 to 2012,306613.1346,"225, North Axis {deg}",2,3.048,156.1078134,475.8166154,0.431577766,143211,4634,
97465,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,56080.22674,"270, North Axis {deg}",2,6.096,116.6647636,711.188399,0.08797956,31836,5,
97467,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,70149.45594,Unknown,2,5.1816,114.2262389,591.8746793,0.186023247,90458,12960,
97468,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,Before 1946,32736.41277,"315, North Axis {deg}",11,5.1816,74.62670452,386.6857321,0.211755808,59756,13747,
97470,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,8726.05822,"270, North Axis {deg}",6,3.048,36.576,111.483648,0.12,2401,,
97471,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,152706.0189,"225, North Axis {deg}",2,3.048,77.46971715,236.1276979,0.529967834,18016,,
97472,Mercantile,ComStock 90.1-2004,Small Packaged Unit,Before 1946,14029.89119,Unknown,missing,5.1816,39.624,205.3157184,0.553846154,18958,1155,
97473,Office,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,26178.17466,"45, North Axis {deg}",2,3.048,18.288,55.741824,0.309838668,5319,139,
97481,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,120171.9144,"135, North Axis {deg}",2,6.096,183.5040632,1118.640769,0.081878978,61403,25,
97482,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,9713.774622,"90, North Axis {deg}",2,8.5344,33.12617261,282.7120075,0.131339152,3038,278,
97486,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1960 to 1969,70149.45594,"315, North Axis {deg}",3,5.1816,122.5097743,634.7966465,0.022253033,85381,4279,
97487,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1990 to 1999,242844.3655,"135, North Axis {deg}",2,8.5344,248.1539454,2117.845032,0.092980216,48202,4505,
97489,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1990 to 1999,1870.652159,Unknown,9,5.1816,26.15484757,135.5239581,0.10212766,5197,87,
97490,Warehouse and Storage,ComStock 90.1-2007,Small Packaged Unit,1970 to 1979,242844.3655,"315, North Axis {deg}",9,8.5344,248.1539454,2117.845032,0.588874701,55875,4083,
97491,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,70149.45594,"45, North Axis {deg}",3,5.1816,131.1665438,679.6525631,0.019091664,107431,3295,
97492,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,32736.41277,"90, North Axis {deg}",2,5.1816,89.49962494,463.7512566,0.108124475,48750,1701,
97493,Healthcare,ComStock DOE Ref 1980-2004,Small Packaged Unit,1960 to 1969,4088.175128,"90, North Axis {deg}",2,3.048,22.461195,68.46172235,0.17276936,4782,53,
97495,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,32736.41277,"180, North Axis {deg}",2,5.1816,89.49962494,463.7512566,0.324373426,57892,1432,
97497,Office,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,26178.17466,Unknown,1,3.048,30.20233421,92.05671468,0.840192246,5758,,
97499,Mercantile,ComStock 90.1-2004,Small Packaged Unit,1946 to 1959,140298.9119,"180, North Axis {deg}",2,5.1816,222.9867533,1155.428161,0.568997185,101402,878,
97502,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1946 to 1959,32736.41277,"225, North Axis {deg}",2,5.1816,75.20914543,389.703708,0.181965717,43223,10595,
97503,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,121422.1828,Unknown,1,8.5344,167.9209819,1433.104828,0.580160099,35573,1183,
97505,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1970 to 1979,70149.45594,Unknown,1,5.1816,137.8359453,714.2107344,0.102773075,87899,9030,
97506,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1946 to 1959,32736.41277,"180, North Axis {deg}",2,5.1816,77.40324995,401.0726799,0.187532823,38694,12430,
97507,Mercantile,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,32736.41277,Unknown,missing,5.1816,85.46749995,442.8583977,0.339676485,43595,4504,
97514,Mercantile,ComStock 90.1-2007,Small Packaged Unit,1980 to 1989,32736.41277,"315, North Axis {deg}",9,5.1816,74.99773193,388.6082478,0.44697962,38240,2490,
97515,Office,ComStock 90.1-2007,Small Packaged Unit,Before 1946,26178.17466,"315, North Axis {deg}",2,3.048,50.08375066,152.655272,0.12,5167,,
97516,Warehouse and Storage,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,485688.7311,"315, North Axis {deg}",1,8.5344,363.2739639,3100.325317,0.014114482,143835,,
97518,Mercantile,ComStock DOE Ref 1980-2004,Small Packaged Unit,1980 to 1989,9613.753156,"180, North Axis {deg}",1,6.096,24.24516711,147.7985387,0.165257679,6163,,29
97519,Mercantile,ComStock 90.1-2007,Small Packaged Unit,2013 to 2018,32736.41277,"90, North Axis {deg}",6,5.1816,103.7205747,537.43853,0.494796455,28300,6152,
